sample_n,time_s,trial_n,baseline,target_temp,raw_temperature,smoothed_temperature,phase,transitioned,event,system_state,test_state,test_time_ms
149,29.601644,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,29752
150,29.801629,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,29952
151,30.005466,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,30171
152,30.205346,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,30354
153,30.405455,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,30537
154,30.601606,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,30720
155,30.80495,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,30937
156,31.005405,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,31172
157,31.205428,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,31355
158,31.401617,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,31555
159,31.605461,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,31775
160,31.805416,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,31940
161,32.005428,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,32140
162,32.20462,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,32322
163,32.405414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,32556
164,32.60542,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,32739
165,32.805412,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,32979
166,33.005277,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,33108
167,33.205352,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,33358
168,33.405426,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,33555
169,33.601625,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,33755
170,33.800751,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,33937
171,34.005439,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,34136
172,34.201608,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,34354
173,34.402394,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,34553
174,34.604697,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,34771
175,34.805415,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,34955
176,35.001684,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,35138
177,35.205418,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,35370
178,35.405335,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,35522
179,35.60542,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,35755
180,35.805422,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,35939
181,36.005444,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,36122
182,36.205414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,36373
183,36.405339,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,36540
184,36.601599,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,36707
185,36.805421,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,36940
186,37.005424,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,37173
